Category,Project Name,Project Link,Creator
Conceptual Art,Conceptual Art Installation @ Swansea College of Art,https://www.kickstarter.com/projects/nonceptualart/gallericide-conceptual-art-installation-uwtsd,Jeremy Samuel Gluck
Illustration,Hard Enamel Brontosaurus Pin,https://www.kickstarter.com/projects/724232796/hard-enamel-brontosaurus-pin,Bronte
Textiles,Objects of Celebration,https://www.kickstarter.com/projects/1006261405/objects-of-celebration,Claire Heminsley
Art,We Are All Alike pin and patch,https://www.kickstarter.com/projects/tattoodave/we-are-all-alike-pin-and-patch,Dave Walker
Public Art,Birmingham Street Art Festival 2014,https://www.kickstarter.com/projects/473638529/birmingham-street-art-festival-2014,Street Art Birmingham
Illustration,1-Hit Wonder - Pink Hard Enamel Gem Ring - Truly Outrageous!,https://www.kickstarter.com/projects/beepositive/1-hit-wonder-pink-hard-enamel-gem-ring-truly-outra,Liz
Illustration,Beneath Our Skin,https://www.kickstarter.com/projects/638916668/beneath-our-skin,Charlotte Rose
Art,Two plus two makes four,https://www.kickstarter.com/projects/brokengreywires/two-plus-two-makes-four,Broken Grey Wires
Art,"AERIAL ART, get involved, just hours left",https://www.kickstarter.com/projects/574629799/aerial-art,Tony Plant
Performance Art,Lendable Mendable Vendable: a live art installation and film,https://www.kickstarter.com/projects/harrietfleuriot/lendable-mendable-vendable-a-live-art-installation,Harriet Fleuriot
Art,Bacon Awareness Pin,https://www.kickstarter.com/projects/calebpaullus/bacon-awareness-pin,Caleb Paullus
Illustration,Prohibition: First Ever 1920's Colouring Book/Adult Coloring,https://www.kickstarter.com/projects/1958824442/prohibition-the-worlds-first-ever-1920s-colouring,Charlotte
Illustration,BUGBEARS!,https://www.kickstarter.com/projects/willblood/bugbears,Will Blood
Illustration,Wizard Of Oz GOOD WITCH / BAD WITCH Enamel pins,https://www.kickstarter.com/projects/beepositive/wizard-of-oz-good-witch-bad-witch-enamel-pins,Liz
Art,MEDA MECHS - Meda Bots inspired anime and gaming enamel pins,https://www.kickstarter.com/projects/luckylionclub/mini-mechs-meda-bots-inspired-anime-and-gaming-enamel-pins,Emma Jane
Illustration,Invisible Illness Club Enamel Pin,https://www.kickstarter.com/projects/229403444/invisible-illness-club-enamel-pin,Sarah
Art,Olivia Rose DAYDREAMS Art Book,https://www.kickstarter.com/projects/1350281617/olivia-rose-daydreams-art-book,Olivia Rose
Illustration,Buy a Print to Help Raise Funds for a Printing Press,https://www.kickstarter.com/projects/seohope/buy-a-print-to-help-raise-funds-for-a-printing-press,Seo Hope
Art,Words Have Weight pin,https://www.kickstarter.com/projects/tattoodave/words-have-weight-pin,Dave Walker
Art,The Flowers in my Window,https://www.kickstarter.com/projects/flowersinmywindow/the-flowers-in-my-window,Jo
Installations,Build a Log Cabin!,https://www.kickstarter.com/projects/340752317/build-a-log-cabin,James Mansfield
Art,Bezalel Workshops,https://www.kickstarter.com/projects/1242099965/bezalel-workshops,Becky Callaghan and Christy Balfour
Illustration,Animal Crossing Love Heart Pins Series 2!,https://www.kickstarter.com/projects/norfolkpins/animal-crossing-love-heart-pins-series-2,Caitlyn
